a8,wood,10
a3,salmon,9
a7,pickaxe,10
a8,pickaxe,6
h4,axe,5
a6,shovel,14
a6,wheat,2
a6,sugar,6
a2,milk,4
a2,bucket,8
a2,bow,3
a3,wood,12
a4,salmon,3
a4,bowl,2
a5,sugar,4
b1,carrot,3
b2,shovel,8
b2,milk,0
b3,pickaxe,3
b4,lead,25
b5,potato,13
b6,bone,4
b7,string,3
b7,pickaxe,2
b8,milk,4
c1,egg,8
c1,elytra,4
c2,bread,6
c2,bundle,9
c3,shield,2
c4,scute,4
c5,bowl,6
c6,flint,2
c6,milk,9
c7,coal,5
c7,steak,9
c10,steak,2
c11,bread,6
e2,hoe,4
e9,book,6
h10,bowl,4
h11,bread,5
j1,steak,14
j1,flint,5
j1,bowl,6
j2,elytra,6
j2,scute,2
j4,bundle,6
j4,bowl,4
j6,coal,4
k1,mutton,5
k1,carrot,6
k6,beetroot,4
k6,dye,3
k5,feather,15
k5,elytra,3
k5,flint,2
k5,clock,3
k4,apple,36
k4,carrot,14
